Initial condition - time 0.0 - no actions  
moveS 1 Spatial x ([8, 0],[9, 0]) x 
recover 1 State x [8, 6] x 
moveS 1 Spatial x ([7, 9],[8, 9]) x 
contact 2 State State [3, 8] [3, 8] 
contact 2 State State [0, 8] [0, 8] 
moveI 1 Spatial x ([1, 7],[2, 7]) x 
moveS 1 Spatial x ([0, 4],[0, 3]) x 
moveS 1 Spatial x ([8, 4],[8, 3]) x 
moveS 1 Spatial x ([8, 0],[7, 0]) x 
moveI 1 Spatial x ([6, 5],[6, 4]) x 
contact 2 State State [2, 2] [2, 2] 
moveI 1 Spatial x ([0, 0],[0, 1]) x 
moveS 1 Spatial x ([8, 6],[7, 6]) x 
moveI 1 Spatial x ([6, 4],[6, 3]) x 
contact 2 State State [2, 0] [2, 0] 
moveI 1 Spatial x ([1, 3],[0, 3]) x 
moveS 1 Spatial x ([1, 6],[1, 7]) x 
contact 2 State State [8, 1] [8, 1] 
contact 2 State State [3, 1] [3, 1] 
moveS 1 Spatial x ([0, 0],[1, 0]) x 
contact 2 State State [2, 0] [2, 0] 
contact 2 State State [7, 6] [7, 6] 
contact 2 State State [7, 6] [7, 6] 
recover 1 State x [2, 5] x 
contact 2 State State [0, 4] [0, 4] 
moveS 1 Spatial x ([6, 3],[6, 4]) x 
contact 2 State State [6, 8] [6, 8] 
contact 2 State State [8, 9] [8, 9] 
moveI 1 Spatial x ([8, 1],[7, 1]) x 
moveS 1 Spatial x ([6, 9],[6, 8]) x 
recover 1 State x [6, 8] x 
recover 1 State x [6, 8] x 
contact 2 State State [7, 9] [7, 9] 
contact 2 State State [5, 2] [5, 2] 
moveS 1 Spatial x ([8, 5],[9, 5]) x 
contact 2 State State [8, 1] [8, 1] 
moveI 1 Spatial x ([7, 8],[8, 8]) x 
recover 1 State x [1, 2] x 
contact 2 State State [0, 2] [0, 2] 
moveS 1 Spatial x ([8, 1],[8, 0]) x 
moveS 1 Spatial x ([2, 1],[2, 0]) x 
contact 2 State State [2, 3] [2, 3] 
moveS 1 Spatial x ([3, 0],[2, 0]) x 
moveS 1 Spatial x ([4, 6],[4, 5]) x 
contact 2 State State [0, 3] [0, 3] 
contact 2 State State [8, 4] [8, 4] 
moveS 1 Spatial x ([1, 1],[1, 2]) x 
contact 2 State State [6, 2] [6, 2] 
moveS 1 Spatial x ([0, 1],[0, 0]) x 
contact 2 State State [1, 9] [1, 9] 
contact 2 State State [8, 3] [8, 3] 
moveI 1 Spatial x ([5, 3],[5, 2]) x 
moveI 1 Spatial x ([7, 4],[8, 4]) x 
moveS 1 Spatial x ([1, 4],[0, 4]) x 
moveR 1 Spatial x ([9, 0],[9, 1]) x 
moveS 1 Spatial x ([6, 3],[6, 2]) x 
moveS 1 Spatial x ([2, 5],[2, 4]) x 
contact 2 State State [3, 0] [3, 0] 
recover 1 State x [8, 1] x 
moveS 1 Spatial x ([1, 3],[1, 4]) x 
contact 2 State State [8, 3] [8, 3] 
moveS 1 Spatial x ([1, 6],[2, 6]) x 
contact 2 State State [6, 3] [6, 3] 
contact 2 State State [7, 6] [7, 6] 
contact 2 State State [6, 9] [6, 9] 
moveS 1 Spatial x ([5, 0],[4, 0]) x 
moveS 1 Spatial x ([8, 9],[9, 9]) x 
contact 2 State State [0, 3] [0, 3] 
contact 2 State State [0, 2] [0, 2] 
contact 2 State State [0, 6] [0, 6] 
recover 1 State x [6, 4] x 
moveS 1 Spatial x ([7, 0],[7, 1]) x 
moveS 1 Spatial x ([3, 5],[3, 6]) x 
contact 2 State State [7, 2] [7, 2] 
contact 2 State State [8, 3] [8, 3] 
moveS 1 Spatial x ([2, 9],[3, 9]) x 
moveS 1 Spatial x ([5, 1],[6, 1]) x 
moveS 1 Spatial x ([4, 2],[4, 1]) x 
contact 2 State State [6, 4] [6, 4] 
moveS 1 Spatial x ([4, 3],[4, 2]) x 
contact 2 State State [1, 3] [1, 3] 
contact 2 State State [0, 6] [0, 6] 
recover 1 State x [8, 4] x 
contact 2 State State [9, 1] [9, 1] 
contact 2 State State [7, 1] [7, 1] 
contact 2 State State [7, 9] [7, 9] 
contact 2 State State [5, 1] [5, 1] 
contact 2 State State [1, 9] [1, 9] 
contact 2 State State [5, 0] [5, 0] 
contact 2 State State [8, 7] [8, 7] 
contact 2 State State [0, 3] [0, 3] 
contact 2 State State [6, 1] [6, 1] 
moveS 1 Spatial x ([9, 2],[8, 2]) x 
contact 2 State State [3, 5] [3, 5] 
moveS 1 Spatial x ([9, 8],[8, 8]) x 
contact 2 State State [7, 1] [7, 1] 
recover 1 State x [0, 8] x 
contact 2 State State [5, 2] [5, 2] 
contact 2 State State [9, 4] [9, 4] 
moveS 1 Spatial x ([6, 0],[7, 0]) x 
contact 2 State State [7, 1] [7, 1] 
moveI 1 Spatial x ([0, 6],[1, 6]) x 
contact 2 State State [0, 7] [0, 7] 
moveS 1 Spatial x ([8, 3],[9, 3]) x 
contact 2 State State [1, 5] [1, 5] 
moveS 1 Spatial x ([8, 0],[7, 0]) x 
contact 2 State State [2, 6] [2, 6] 
contact 2 State State [3, 8] [3, 8] 
moveS 1 Spatial x ([4, 8],[4, 9]) x 
contact 2 State State [6, 1] [6, 1] 
moveS 1 Spatial x ([5, 8],[6, 8]) x 
contact 2 State State [6, 4] [6, 4] 
recover 1 State x [1, 5] x 
contact 2 State State [5, 2] [5, 2] 
contact 2 State State [8, 8] [8, 8] 
moveS 1 Spatial x ([0, 0],[1, 0]) x 
contact 2 State State [3, 5] [3, 5] 
recover 1 State x [3, 5] x 
moveI 1 Spatial x ([7, 9],[6, 9]) x 
recover 1 State x [4, 2] x 
contact 2 State State [6, 9] [6, 9] 
moveS 1 Spatial x ([6, 8],[7, 8]) x 
moveS 1 Spatial x ([4, 5],[3, 5]) x 
moveS 1 Spatial x ([5, 4],[4, 4]) x 
moveS 1 Spatial x ([5, 3],[5, 2]) x 
moveS 1 Spatial x ([8, 2],[8, 1]) x 
contact 2 State State [0, 5] [0, 5] 
moveI 1 Spatial x ([4, 9],[4, 8]) x 
contact 2 State State [6, 0] [6, 0] 
contact 2 State State [8, 5] [8, 5] 
contact 2 State State [6, 1] [6, 1] 
moveS 1 Spatial x ([7, 1],[6, 1]) x 
contact 2 State State [1, 0] [1, 0] 
moveS 1 Spatial x ([9, 9],[8, 9]) x 
contact 2 State State [7, 9] [7, 9] 
contact 2 State State [5, 0] [5, 0] 
contact 2 State State [3, 3] [3, 3] 
moveS 1 Spatial x ([5, 7],[5, 8]) x 
contact 2 State State [5, 0] [5, 0] 
contact 2 State State [6, 3] [6, 3] 
moveI 1 Spatial x ([4, 7],[4, 8]) x 
contact 2 State State [6, 1] [6, 1] 
contact 2 State State [5, 0] [5, 0] 
moveS 1 Spatial x ([3, 3],[3, 2]) x 
moveS 1 Spatial x ([9, 1],[9, 0]) x 
contact 2 State State [3, 0] [3, 0] 
moveI 1 Spatial x ([0, 1],[0, 0]) x 
recover 1 State x [3, 9] x 
recover 1 State x [0, 8] x 
moveS 1 Spatial x ([7, 0],[6, 0]) x 
contact 2 State State [8, 8] [8, 8] 
contact 2 State State [3, 3] [3, 3] 
moveS 1 Spatial x ([5, 6],[4, 6]) x 
moveS 1 Spatial x ([4, 9],[5, 9]) x 
moveS 1 Spatial x ([7, 3],[6, 3]) x 
recover 1 State x [3, 1] x 
recover 1 State x [8, 9] x 
moveS 1 Spatial x ([8, 6],[8, 7]) x 
moveI 1 Spatial x ([8, 0],[8, 1]) x 
moveS 1 Spatial x ([4, 1],[3, 1]) x 
contact 2 State State [6, 4] [6, 4] 
recover 1 State x [3, 8] x 
contact 2 State State [3, 0] [3, 0] 
moveS 1 Spatial x ([7, 2],[6, 2]) x 
contact 2 State State [0, 4] [0, 4] 
recover 1 State x [7, 9] x 
recover 1 State x [1, 9] x 
contact 2 State State [5, 0] [5, 0] 
contact 2 State State [8, 3] [8, 3] 
contact 2 State State [2, 7] [2, 7] 
contact 2 State State [0, 2] [0, 2] 
moveS 1 Spatial x ([3, 9],[4, 9]) x 
moveS 1 Spatial x ([4, 8],[4, 9]) x 
contact 2 State State [8, 3] [8, 3] 
moveI 1 Spatial x ([7, 6],[7, 7]) x 
contact 2 State State [8, 8] [8, 8] 
moveS 1 Spatial x ([4, 3],[3, 3]) x 
moveS 1 Spatial x ([9, 0],[8, 0]) x 
moveS 1 Spatial x ([2, 4],[3, 4]) x 
moveI 1 Spatial x ([6, 4],[7, 4]) x 
moveS 1 Spatial x ([4, 9],[4, 8]) x 
contact 2 State State [3, 5] [3, 5] 
moveS 1 Spatial x ([6, 1],[5, 1]) x 
contact 2 State State [5, 4] [5, 4] 
moveS 1 Spatial x ([8, 6],[8, 7]) x 
contact 2 State State [9, 1] [9, 1] 
contact 2 State State [0, 2] [0, 2] 
moveS 1 Spatial x ([1, 3],[1, 2]) x 
moveS 1 Spatial x ([0, 5],[0, 4]) x 
contact 2 State State [2, 2] [2, 2] 
